"year","D2E_0","CCrate_0","D2E_1","CCrate_1"
"2016",6.29209375954796,15.2631850242009,5.95769790772542,15.0869341221206
"2019",7.07415856962605,16.4602427719789,6.48548427149809,16.3068823544796
"Pool",6.68442586146805,15.8637032629113,6.22246820654888,15.6989356443312
