"year","FinLit_share","FinLit_int_share","FinLit_inf_share","FinLit_sto_share"
"2016",42.6816574701157,78.1843786591004,76.1049606856048,63.0160277508466
"2019",42.7800120562592,81.528022273448,73.3622742734039,61.171085153125
"Pool",42.7309982165831,79.8617571965105,74.7290594672659,62.0904903811065
